program-name,current-version,experimental-version,status
helm-s3,0.17.1,0.17.1,SAME
helm-diff,3.13.1,3.13.1,SAME
helm,plugins,plugins,SAME
helmfile,1.1.9,1.1.9,SAME
nixos,enter,enter,SAME
nix-index,0.1.9,0.1.9,SAME
python3.13-vdf,3.4,3.4,SAME
winetricks,20250102,20250102,SAME
yad,14.1,14.1,SAME
steam-run,init,init,SAME
protontricks,1.13.1,1.13.1,SAME
lsp-plugins-1.2.25,doc,doc,SAME
xauth,1.1.4,1.1.4,SAME
libressl,4.2.1,4.2.1,SAME
libressl-4.2.1,nc,nc,SAME
time,1.9,1.9,SAME
libcaca-0.99.beta20,man,man,SAME
timidity,2.15.0,2.15.0,SAME
SDL2_mixer,2.8.1,2.8.1,SAME
SDL2_image,2.8.8,2.8.8,SAME
libarchive,3.8.4,3.8.4,SAME
squashfs,4.7.4,4.7.4,SAME
pv,1.10.1,1.10.1,SAME
appimage,exec.sh,exec.sh,SAME
libid3tag,0.16.3,0.16.3,SAME
imlib2,1.12.5,1.12.5,SAME
libvpx-1.15.2,bin,bin,SAME
libmpg123-1.33.4,man,man,SAME
dbus-glib,0.114,0.114,SAME
libmikmod-3.3.13,man,man,SAME
libidn-1.43,bin,bin,SAME
jetbrains-toolbox-2.5.2.35332-fhsenv,profile,profile,SAME
pipewire-1.4.9,man,man,SAME
jetbrains-toolbox-2.5.2.35332,init,init,SAME
set-java-classpath,hook,hook,SAME
openjdk,21.0.10+7,21.0.10+7,SAME
jetbrains-jdk-jcef-21.0.9,b1163.86,b1163.86,SAME
acl-2.3.2,bin,bin,SAME
typescript,5.9.3,5.9.3,SAME
attr-2.5.2,man,man,SAME
bottles-cli-60.1-fhsenv,profile,profile,SAME
lzip,1.25,1.25,SAME
gnustep-libobjc,2.3,2.3,SAME
gnustep-make,2.9.3,2.9.3,SAME
gnustep-base-1.29.0,lib,lib,SAME
unar,1.10.8,1.10.8,SAME
zpaq,7.15,7.15,SAME
python3.13-patool,4.0.1,4.0.1,SAME
vmtouch,1.3.1,1.3.1,SAME
imagemagick-7.1.2-13,doc,doc,SAME
liblqr-1,0.4.2,0.4.2,SAME
liblqr-1-0.4.2,dev,dev,SAME
djvulibre,3.5.29,3.5.29,SAME
djvulibre-3.5.29,lib,lib,SAME
openjpeg-2.5.4,dev,dev,SAME
libheif,1.20.2,1.20.2,SAME
libidn2-2.3.8,bin,bin,SAME
openexr-3.3.5,bin,bin,SAME
libpsl-0.21.5,dev,dev,SAME
libxt-1.3.1,dev,dev,SAME
nghttp3-1.12.0,dev,dev,SAME
fftw-double-3.3.10,dev,dev,SAME
libhwy,1.0.7,1.0.7,SAME
libjxl-0.11.1,dev,dev,SAME
imagemagick-7.1.2,13,13,SAME
libraw,0.21.4,0.21.4,SAME
libssh2-1.11.1,dev,dev,SAME
ngtcp2-1.17.0,dev,dev,SAME
glfw,3.4,3.4,SAME
fmt,12.0.0,12.0.0,SAME
spdlog,1.15.3,1.15.3,SAME
libXNVCtrl,390.157,390.157,SAME
mangohud,0.8.2,0.8.2,SAME
python3.13-orjson,3.11.3,3.11.3,SAME
python3.13-pefile,2024.8.26,2024.8.26,SAME
icoextract,0.2.0,0.2.0,SAME
gamemode-1.8.2,lib,lib,SAME
gamemode,1.8.2,1.8.2,SAME
libportal,0.9.1,0.9.1,SAME
python3.13-fvs,0.3.4,0.3.4,SAME
vkbasalt,0.3.2.10,0.3.2.10,SAME
vkbasalt-cli,3.1.1,3.1.1,SAME
python3.13-pathvalidate,3.3.1,3.3.1,SAME
xdpyinfo,1.3.4,1.3.4,SAME
python3.13-pycurl,7.45.6,7.45.6,SAME
seatd,0.9.1,0.9.1,SAME
xwininfo,1.1.6,1.1.6,SAME
xprop,1.2.8,1.2.8,SAME
luajit,2.1.1741730670,2.1.1741730670,SAME
gamescope,3.16.17,3.16.17,SAME
python3.13-chardet,5.2.0,5.2.0,SAME
bottles-unwrapped,60.1,60.1,SAME
dosbox-0.74,3,3,SAME
bottles-cli-60.1,init,init,SAME
bottles-60.1-fhsenv,profile,profile,SAME
bottles-60.1,init,init,SAME
bottles,unknown,unknown,SAME
gnutar-1.35,info,info,SAME
gcc-13.4.0,man,man,SAME
gcc-wrapper-13.4.0,man,man,SAME
liblinear,2.47,2.47,SAME
nmap,7.98,7.98,SAME
groff,1.23.0,1.23.0,SAME
man-db,2.13.1,2.13.1,SAME
thunar-volman,4.20.0,4.20.0,SAME
udisks-2.10.2,man,man,SAME
xxHash,0.8.3,0.8.3,SAME
kitty-0.44.0,terminfo,terminfo,SAME
kitty,0.44.0,0.44.0,SAME
libcacard,2.8.1,2.8.1,SAME
phodav-3.0,lib,lib,SAME
usbredir,0.15.0,0.15.0,SAME
spice-gtk,0.42,0.42,SAME
python3.13-libvirt,11.7.0,11.7.0,SAME
osinfo-db,20250606,20250606,SAME
libosinfo,1.12.0,1.12.0,SAME
libisofs,1.5.6.pl01,1.5.6.pl01,SAME
libburn,1.5.6,1.5.6,SAME
libisoburn-1.5.6,lib,lib,SAME
libisoburn,1.5.6,1.5.6,SAME
vte,0.82.2,0.82.2,SAME
gtk-vnc,1.5.0,1.5.0,SAME
virt-manager,5.1.0,5.1.0,SAME
msgpack-c,6.1.0,6.1.0,SAME
tmate-unstable-2022-08,07,07,SAME
utf8proc,2.11.2,2.11.2,SAME
fcft,3.3.2,3.3.2,SAME
foot-1.25.0,terminfo,terminfo,SAME
foot,1.25.0,1.25.0,SAME
xterm,403,403,SAME
relaxedsandbox.nix,unknown,unknown,SAME
sandbox.nix,unknown,unknown,SAME
multiuser.nix,unknown,unknown,SAME
android-tools,35.0.2,35.0.2,SAME
amazon-q-cli,1.19.7,1.19.7,SAME
coreutils-full,9.8,9.8,SAME
xinput,1.6.4,1.6.4,SAME
ydotool,1.0.4,1.0.4,SAME
kompose,1.37.0,1.37.0,SAME
kiro-cli,latest,latest,SAME
mako,1.10.0,1.10.0,SAME
libnotify-0.8.7,man,man,SAME
network-manager-applet,1.36.0,1.36.0,SAME
libva-utils,2.22.0,2.22.0,SAME
kbd-2.9.0,man,man,SAME
ffmpeg-headless-6.1.3,data,data,SAME
plex-desktop,1.109.0,1.109.0,SAME
plex,desktop.sh,desktop.sh,SAME
plex-desktop-1.109.0,init,init,SAME
screen,5.0.1,5.0.1,SAME
publicsuffix-list-0-unstable-2026-01,25,25,SAME
brotli-1.2.0,lib,lib,SAME
krew,0.5.0,0.5.0,SAME
xcb-imdkit,1.0.9,1.0.9,SAME
fcitx5,5.1.16,5.1.16,SAME
fish-4.2.1,doc,doc,SAME
fish,4.2.1,4.2.1,SAME
wev,1.1.0,1.1.0,SAME
syndication,6.20.0,6.20.0,SAME
attica,6.20.0,6.20.0,SAME
kpackage,6.20.0,6.20.0,SAME
knewstuff,6.20.0,6.20.0,SAME
appstream-qt,1.0.4,1.0.4,SAME
packagekit-qt,1.1.4,1.1.4,SAME
frameworkintegration,6.20.0,6.20.0,SAME
kdecoration,6.5.5,6.5.5,SAME
breeze,6.5.5,6.5.5,SAME
qtquicktimeline,6.10.1,6.10.1,SAME
rnnoise,0.2,0.2,SAME
qtgraphs,6.10.1,6.10.1,SAME
zita-convolver,4.0.3,4.0.3,SAME
kirigami-addons,1.10.0,1.10.0,SAME
gsl,2.8,2.8,SAME
zam-plugins,4.4,4.4,SAME
deepfilternet,0.5.6,0.5.6,SAME
vamp-plugin-sdk,2.10,2.10,SAME
rubberband,4.0.0,4.0.0,SAME
jack2,1.9.22,1.9.22,SAME
lsp-plugins,1.2.25,1.2.25,SAME
easyeffects,8.0.9,8.0.9,SAME
perl5.40.0-IO-Stringy,2.113,2.113,SAME
perl5.40.0-File-Slurp,9999.32,9999.32,SAME
perl5.40.0-Config-IniFiles,3.000003,3.000003,SAME
nixos-generate,config,config,SAME
tree,2.2.1,2.2.1,SAME
all,plugins,plugins,SAME
alsa-utils,1.2.14,1.2.14,SAME
skalibs-2.14.4.0,lib,lib,SAME
sdnotify,wrapper,wrapper,SAME
nixos-configuration-reference,manpage,manpage,SAME
jsoncpp,1.9.6,1.9.6,SAME
openvr,2.12.14,2.12.14,SAME
alvr,20.14.1,20.14.1,SAME
graphene-1.10.8,dev,dev,SAME
gtk4-4.20.3,dev,dev,SAME
nix-manual-2.31.2,man,man,SAME
nix-2.31.2,man,man,SAME
zsh-5.9,info,info,SAME
hyprgraphics,0.4.0,0.4.0,SAME
hyprpaper,0.7.6,0.7.6,SAME
avahi-0.8,man,man,SAME
mlocate,0.26,0.26,SAME
cliphist,0.7.0,0.7.0,SAME
mcpp,2.7.2.2,2.7.2.2,SAME
xrdb,1.2.2,1.2.2,SAME
nixfmt,1.2.0,1.2.0,SAME
nil-2025-06,13,13,SAME
libcerf,3.2,3.2,SAME
set-gdfontpath-from,fontconfig.sh,fontconfig.sh,SAME
gnuplot,6.0.3,6.0.3,SAME
libqalculate,5.8.2,5.8.2,SAME
texlive-2024-uptex,fmt,fmt,SAME
pdfjam,4.1,4.1,SAME
texlive-scripts-extra-71746,tex,tex,SAME
texlive-scripts-extra,71746,71746,SAME
ulqda-1.1,tex,tex,SAME
perl5.40.0-Digest-SHA1,2.13,2.13,SAME
ulqda,1.1,1.1,SAME
xcb-util-renderutil,0.3.10,0.3.10,SAME
xcb-util-keysyms,0.4.1,0.4.1,SAME
xcb-util,0.4.1,0.4.1,SAME
xcb-util-image,0.4.1,0.4.1,SAME
xcb-util-wm,0.4.2,0.4.2,SAME
ttfautohint,1.8.3,1.8.3,SAME
gumbo,0.13.0,0.13.0,SAME
mupdf,1.25.3,1.25.3,SAME
mupdf-1.25.3,bin,bin,SAME
dvisvgm,3.2.2,3.2.2,SAME
html-tidy,5.8.0,5.8.0,SAME
tex4ebook,0.4a,0.4a,SAME
latexindent-3.24.4,tex,tex,SAME
perl5.40.0-MIME-Charset,1.013.1,1.013.1,SAME
perl5.40.0-Unicode-LineBreak,2019.001,2019.001,SAME
perl5.40.0-Sub-Identify,0.14,0.14,SAME
perl5.40.0-Module-Runtime,0.016,0.016,SAME
perl5.40.0-Module-Implementation,0.09,0.09,SAME
perl5.40.0-B-Hooks-EndOfScope,0.26,0.26,SAME
perl5.40.0-Test-Requires,0.11,0.11,SAME
perl5.40.0-CPAN-Meta-Check,0.018,0.018,SAME
perl5.40.0-Dist-CheckConflicts,0.11,0.11,SAME
perl5.40.0-Package-Stash,0.40,0.40,SAME
perl5.40.0-namespace-clean,0.27,0.27,SAME
perl5.40.0-namespace-autoclean,0.29,0.29,SAME
perl5.40.0-Eval-Closure,0.14,0.14,SAME
perl5.40.0-Sub-Quote,2.006008,2.006008,SAME
perl5.40.0-Log-Log4perl,1.57,1.57,SAME
perl5.40.0-Devel-StackTrace,2.04,2.04,SAME
perl5.40.0-Role-Tiny,2.002004,2.002004,SAME
perl5.40.0-MRO-Compat,0.15,0.15,SAME
perl5.40.0-Specio,0.48,0.48,SAME
perl5.40.0-Class-Data-Inheritable,0.09,0.09,SAME
perl5.40.0-Exception-Class,1.45,1.45,SAME
perl5.40.0-Params-ValidationCompiler,0.31,0.31,SAME
perl5.40.0-YAML-Tiny,1.74,1.74,SAME
perl5.40.0-File-HomeDir,1.006,1.006,SAME
perl5.40.0-Log-Dispatch,2.71,2.71,SAME
latexindent,3.24.4,3.24.4,SAME
pfarrei,r37,r37,SAME
texdoctk-0.6.0,tex,tex,SAME
texdoctk,0.6.0,0.6.0,SAME
xetex,71991,71991,SAME
cluttex,0.6,0.6,SAME
petri-nets-39165,tex,tex,SAME
petri-nets,39165,39165,SAME
optexcount-1.1,tex,tex,SAME
optexcount,1.1,1.1,SAME
texlive.infra-73495-tlpdb-74525,tex,tex,SAME
texlive.infra-73495-tlpdb,74525,74525,SAME
pagelayout,1.1.1,1.1.1,SAME
latex2nemeth-1.1.3,tex,tex,SAME
latex2nemeth,1.1.3,1.1.3,SAME
libvmaf-3.0.0,dev,dev,SAME
libaom-3.11.0,bin,bin,SAME
dav1d-1.5.1,dev,dev,SAME
dvipng,1.18,1.18,SAME
vpe-0.2,tex,tex,SAME
vpe,0.2,0.2,SAME
ebong-67933,tex,tex,SAME
ebong,67933,67933,SAME
texfindpkg,2024A,2024A,SAME
texdef-1.10,tex,tex,SAME
texdef,1.10,1.10,SAME
pdftex-quiet,1.1.0,1.1.0,SAME
ketcindy,20191225.0,20191225.0,SAME
light-latex-make,1.2.0,1.2.0,SAME
chklref-3.1.2,tex,tex,SAME
chklref,3.1.2,3.1.2,SAME
musixtex,1.38,1.38,SAME
tex,3.141592653,3.141592653,SAME
texlive-2024-platex,fmt,fmt,SAME
perl5.40.0-File-Copy-Recursive,0.45,0.45,SAME
ctanify-1.9.1,tex,tex,SAME
ctanify,1.9.1,1.9.1,SAME
latexmk-4.86a,tex,tex,SAME
latexmk,4.86a,4.86a,SAME
perl5.40.0-DBI,1.644,1.644,SAME
sqltex-3.0,tex,tex,SAME
sqltex,3.0,3.0,SAME
pkfix-1.7,tex,tex,SAME
pkfix,1.7,1.7,SAME
xdvi,62387,62387,SAME
texlive-2024-xmltex,fmt,fmt,SAME
crossrefware-72217,tex,tex,SAME
crossrefware,72217,72217,SAME
easydtx-0.2.0,tex,tex,SAME
easydtx,0.2.0,0.2.0,SAME
python3.12-chardet,5.2.0,5.2.0,SAME
python3.12-pygments,2.19.2,2.19.1,DIFFERENT (current:2.19.2,exp:2.19.1)
pygmentex,0.11,0.11,SAME
texdiff-0.4,tex,tex,SAME
texdiff,0.4,0.4,SAME
wordcount,1.7,1.7,SAME
chktex,1.7.9,1.7.9,SAME
metafont,2.71828182,2.71828182,SAME
runtexshebang,0.5,0.5,SAME
texlive-2024-mltex,fmt,fmt,SAME
texlive-2024-luatex,fmt,fmt,SAME
hyphen-macedonian-73410,tex,tex,SAME
hyphen-finnish-73410,tex,tex,SAME
hyphen-norwegian-73410,tex,tex,SAME
hyphen-farsi-73555,tex,tex,SAME
hyphen-romansh-73555,tex,tex,SAME
hyphen-mongolian-73410,tex,tex,SAME
hyphen-catalan-73410,tex,tex,SAME
hyphen-base-73526,tex,tex,SAME
hyphen-welsh-73410,tex,tex,SAME
hyphen-russian-73410,tex,tex,SAME
hyphen-italian-4.8g,tex,tex,SAME
hyphen-spanish-5.0,tex,tex,SAME
hyphen-bulgarian-73410,tex,tex,SAME
hyphen-belarusian-73410,tex,tex,SAME
hyphen-danish-73410,tex,tex,SAME
hyphen-croatian-73410,tex,tex,SAME
hyphen-churchslavonic-73410,tex,tex,SAME
hyphen-turkish-73410,tex,tex,SAME
hyphen-indic-73410,tex,tex,SAME
hyphen-sanskrit-73410,tex,tex,SAME
hyphen-irish-73410,tex,tex,SAME
hyphen-interlingua-73410,tex,tex,SAME
hyphen-hungarian-73410,tex,tex,SAME
metafont-2.71828182,tex,tex,SAME
hyphen-friulan-73410,tex,tex,SAME
hyphen-ukrainian-73410,tex,tex,SAME
hyphen-latin-3.1,tex,tex,SAME
hyphen-albanian-73410,tex,tex,SAME
modes-4.3,tex,tex,SAME
hyphen-german-73410,tex,tex,SAME
hyphen-kurmanji-73410,tex,tex,SAME
hyphen-dutch-1.1,tex,tex,SAME
kpathsea-72376,tex,tex,SAME
hyphen-occitan-73410,tex,tex,SAME
hyphen-afrikaans-73410,tex,tex,SAME
hyphen-georgian-73410,tex,tex,SAME
hyphen-piedmontese-73410,tex,tex,SAME
hyphen-serbian-1.0a,tex,tex,SAME
hyphen-estonian-73410,tex,tex,SAME
hyphen-english-73410,tex,tex,SAME
hyphen-arabic-73555,tex,tex,SAME
hyphen-ethiopic-73410,tex,tex,SAME
hyphen-armenian-73410,tex,tex,SAME
hyphen-indonesian-73410,tex,tex,SAME
hyphen-lithuanian-73410,tex,tex,SAME
hyph-utf8-73410,tex,tex,SAME
hyphen-polish-3.0b,tex,tex,SAME
dehyph-exptl-1.0,tex,tex,SAME
hyphen-greek-5,tex,tex,SAME
hyphen-turkmen-73410,tex,tex,SAME
texlive-scripts-74525,tex,tex,SAME
hyphen-slovenian-73410,tex,tex,SAME
hyphen-latvian-73410,tex,tex,SAME
hyphen-french-73410,tex,tex,SAME
hyphen-esperanto-73410,tex,tex,SAME
hyphen-galician-73410,tex,tex,SAME
hyphen-icelandic-73410,tex,tex,SAME
ruhyphen-1.6,tex,tex,SAME
hyphen-portuguese-73410,tex,tex,SAME
hyphen-ancientgreek-73555,tex,tex,SAME
hyphen-uppersorbian-73410,tex,tex,SAME
hyphen-thai-73410,tex,tex,SAME
hyphen-swedish-73410,tex,tex,SAME
hyphen-slovak-73410,tex,tex,SAME
hyphen-czech-73410,tex,tex,SAME
hyphen-coptic-73410,tex,tex,SAME
hyphen-chinese-73410,tex,tex,SAME
ukrhyph-21081,tex,tex,SAME
dehyph-48599,tex,tex,SAME
texlive-2024-metafont-fmt,texmfdist,texmfdist,SAME
texlive-2024-metafont,fmt,fmt,SAME
listbib,2.2,2.2,SAME
perl5.40.0-OLE-Storage_Lite,0.22,0.22,SAME
perl5.40.0-Digest-Perl-MD5,1.9,1.9,SAME
perl5.40.0-Crypt-RC4,2.02,2.02,SAME
perl5.40.0-Spreadsheet-ParseExcel,0.66,0.66,SAME
exceltex-0.5.1,tex,tex,SAME
exceltex,0.5.1,0.5.1,SAME
findhyph-3.4,tex,tex,SAME
findhyph,3.4,3.4,SAME
splitindex-1.2c,tex,tex,SAME
splitindex,1.2c,1.2c,SAME
citation-style-language,0.7.0,0.7.0,SAME
texcount-3.1.1,tex,tex,SAME
texcount,3.1.1,3.1.1,SAME
texlive-2024-hitex,fmt,fmt,SAME
texplate-1.0.6,tex,tex,SAME
texplate,1.0.6,1.0.6,SAME
ptex2pdf,20200520.0,20200520.0,SAME
authorindex-51757,tex,tex,SAME
authorindex,51757,51757,SAME
bib2gls-4.4,tex,tex,SAME
bib2gls,4.4,4.4,SAME
luatex,71409,71409,SAME
texlive-2024-jadetex,fmt,fmt,SAME
context-74490,tex,tex,SAME
luametatex,2.11.02,2.11.02,SAME
context,74490,74490,SAME
perl5.40.0-XML-NamespaceSupport,1.12,1.12,SAME
perl5.40.0-XML-SAX,1.02,1.02,SAME
perl5.40.0-XML-LibXML,2.0210,2.0210,SAME
perl5.40.0-XML-LibXML-Simple,1.01,1.01,SAME
perl5.40.0-Encode-HanExtra,0.23,0.23,SAME
perl5.40.0-Module-Build,0.4234,0.4234,SAME
perl5.40.0-autovivification,0.18,0.18,SAME
perl5.40.0-Params-Validate,1.31,1.31,SAME
perl5.40.0-Class-Singleton,1.6,1.6,SAME
perl5.40.0-DateTime-TimeZone,2.60,2.60,SAME
perl5.40.0-Class-Inspector,1.36,1.36,SAME
perl5.40.0-File-ShareDir,1.118,1.118,SAME
perl5.40.0-DateTime-Locale,1.39,1.39,SAME
perl5.40.0-DateTime,1.59,1.59,SAME
perl5.40.0-DateTime-Format-Strptime,1.79,1.79,SAME
perl5.40.0-DateTime-Format-Builder,0.83,0.83,SAME
perl5.40.0-Data-Uniqid,0.12,0.12,SAME
perl5.40.0-ExtUtils-LibBuilder,0.08,0.08,SAME
perl5.40.0-Sort-Key,1.33,1.33,SAME
perl5.40.0-Business-ISBN-Data,20231006.001,20231006.001,SAME
perl5.40.0-Business-ISBN,3.008,3.008,SAME
perl5.40.0-Data-Dump,1.25,1.25,SAME
perl5.40.0-IO-String,1.08,1.08,SAME
perl5.40.0-Config-AutoConf,0.320,0.320,SAME
perl5.40.0-List-MoreUtils-XS,0.430,0.430,SAME
perl5.40.0-Exporter-Tiny,1.006002,1.006002,SAME
perl5.40.0-List-MoreUtils,0.430,0.430,SAME
perl5.40.0-Parse-RecDescent,1.967015,1.967015,SAME
perl5.40.0-Encode-JIS2K,0.03,0.03,SAME
perl5.40.0-List-SomeUtils,0.59,0.59,SAME
perl5.40.0-List-UtilsBy,0.12,0.12,SAME
perl5.40.0-List-AllUtils,0.19,0.19,SAME
perl5.40.0-Tie-Cycle,1.227,1.227,SAME
perl5.40.0-Business-ISMN,1.203,1.203,SAME
perl5.40.0-XML-LibXSLT,2.002001,2.002001,SAME
perl5.40.0-Regexp-Common,2017060201,2017060201,SAME
perl5.40.0-Lingua-Translit,0.29,0.29,SAME
perl5.40.0-Text-CSV,2.03,2.03,SAME
perl5.40.0-PerlIO-utf8_strict,0.010,0.010,SAME
perl5.40.0-XML-Writer,0.900,0.900,SAME
perl5.40.0-Encode-EUCJPASCII,0.03,0.03,SAME
perl5.40.0-Class-Accessor,0.51,0.51,SAME
perl5.40.0-LWP-Protocol-https,6.11,6.11,SAME
perl5.40.0-IPC-Run3,0.048,0.048,SAME
perl5.40.0-Text-Roman,3.5,3.5,SAME
perl5.40.0-Text-Balanced,2.06,2.06,SAME
perl5.40.0-DateTime-Calendar-Julian,0.107,0.107,SAME
perl5.40.0-Text-CSV_XS,1.52,1.52,SAME
perl5.40.0-Business-ISSN,1.005,1.005,SAME
perl5.40.0-biber-ms-4.0,1,1,SAME
expltools,74292,74292,SAME
dosepsbin-1.2,tex,tex,SAME
dosepsbin,1.2,1.2,SAME
git-latexdiff,1.6.0,1.6.0,SAME
texdoc-4.1.1-tlpdb,74525,74525,SAME
checklistings,1.0,1.0,SAME
albatross-0.5.1,tex,tex,SAME
albatross,0.5.1,0.5.1,SAME
rubik-5.0,tex,tex,SAME
rubik,5.0,5.0,SAME
epstopdf-2.36,tex,tex,SAME
epstopdf,2.36,2.36,SAME
a2ping-2.84p,tex,tex,SAME
a2ping,2.84p,2.84p,SAME
metapost,70041,70041,SAME
texlive-msg-translations-73789,tlpkg,tlpkg,SAME
ptex2pdf-20200520.0,tlpkg,tlpkg,SAME
xetex-71991,tlpkg,tlpkg,SAME
haranoaji-20231009-2,tlpkg,tlpkg,SAME
texlive-2024,tlpkg,tlpkg,SAME
currvita-15878,tex,tex,SAME
olsak-misc-Aug._2022,tex,tex,SAME
pgfmolbio-0.21a,tex,tex,SAME
highlightx-0.1.6,tex,tex,SAME
syntrace-1.1,tex,tex,SAME
pitex-24731,tex,tex,SAME
manfnt-54684,tex,tex,SAME
cantarell-3.2,tex,tex,SAME
pxpic-1.5,tex,tex,SAME
pst-eps-1.0,tex,tex,SAME
ifmslide-0.47,tex,tex,SAME
icsv-0.2,tex,tex,SAME
pst-arrow-0.05,tex,tex,SAME
fithesis-1.1.1,tex,tex,SAME
koma-script-sfs-1.0,tex,tex,SAME
glossaries-slovene-1.0,tex,tex,SAME
cm-unicode-0.7.0,tex,tex,SAME
karnaugh-map-2.0,tex,tex,SAME
tonevalue-1.0,tex,tex,SAME
acmart-2.12,tex,tex,SAME
mciteplus-1.2,tex,tex,SAME
tlc-article-1.0.17,tex,tex,SAME
abntexto-3.2.1-beta,tex,tex,SAME
xfrac-71430,tex,tex,SAME
ha-prosper-4.21,tex,tex,SAME
hyperxmp-5.13,tex,tex,SAME
pst-layout-.95,tex,tex,SAME
etoolbox-2.5l,tex,tex,SAME
lplfitch-0.9,tex,tex,SAME
assoccnt-0.8,tex,tex,SAME
spalign-42225,tex,tex,SAME
colortab-1.0,tex,tex,SAME
hvlogos-0.12a,tex,tex,SAME
skaknew-20031,tex,tex,SAME
colorinfo-0.3c,tex,tex,SAME
biblatex-nottsclassic-0.1,tex,tex,SAME
xifthen-1.4.0,tex,tex,SAME
chemmacros-6.2a,tex,tex,SAME
method-2.0b,tex,tex,SAME
fcavtex-1.1,tex,tex,SAME
dviinfox-1.06,tex,tex,SAME
iexec-0.15.0,tex,tex,SAME
ltb2bib-0.01,tex,tex,SAME
spectralsequences-1.3.3,tex,tex,SAME
notomath-1.031,tex,tex,SAME
resumemac-15878,tex,tex,SAME
fullwidth-0.1,tex,tex,SAME
conteq-0.1.1,tex,tex,SAME
flashcards-1.0.2,tex,tex,SAME
autonum-0.3.11,tex,tex,SAME
mslapa-54080,tex,tex,SAME
avantgar-61983,tex,tex,SAME
tensind-1.1,tex,tex,SAME
kerntest-1.32,tex,tex,SAME
notes-1.0.1,tex,tex,SAME
microtype-3.2a,tex,tex,SAME
phfqit-4.1,tex,tex,SAME
breqn-0.98l,tex,tex,SAME
chemobabel-0.9l,tex,tex,SAME
luamplib-2.37.1,tex,tex,SAME
pl-1.09a,tex,tex,SAME
luacas-1.0.2,tex,tex,SAME
storecmd-0.0.2,tex,tex,SAME
stmaryrd-22027,tex,tex,SAME
kvdefinekeys-1.6,tex,tex,SAME
endheads-1.7,tex,tex,SAME
linguisticspro-64858,tex,tex,SAME
chemcono-1.3,tex,tex,SAME
staves-15878,tex,tex,SAME
sshrc-insight-2024.1.0,tex,tex,SAME
titlecaps-1.3,tex,tex,SAME
gregoriotex-6.1.0,tex,tex,SAME
babel-english-3.3r,tex,tex,SAME
numbersets-0.2.0,tex,tex,SAME
utfsym-0.9.0,tex,tex,SAME
pythonhighlight-70698,tex,tex,SAME
to-be-determined-0.3.2,tex,tex,SAME
physics-patch-2.4,tex,tex,SAME
lewis-0.1,tex,tex,SAME
ebgaramond-71069,tex,tex,SAME
xetex-itrans-4.2,tex,tex,SAME
mpkiviat-0.1,tex,tex,SAME
termcal-de-2.0,tex,tex,SAME
mdsymbol-0.5,tex,tex,SAME
cuprum-49909,tex,tex,SAME
cprotect-1.0e,tex,tex,SAME
romanbar-1.0g,tex,tex,SAME
hopatch-1.5,tex,tex,SAME
multiple-choice-0.2,tex,tex,SAME
timetable-15878,tex,tex,SAME
bibtopicprefix-1.10,tex,tex,SAME
onedown-1.7,tex,tex,SAME
decision-table-0.0.4,tex,tex,SAME
joinbox-1.0.3,tex,tex,SAME
acroterm-0.1,tex,tex,SAME
ntgclass-2.1f,tex,tex,SAME
dinbrief-15878,tex,tex,SAME
itnumpar-1.0,tex,tex,SAME
diagmac2-2.1,tex,tex,SAME
hithesis-2.0.11,tex,tex,SAME
savefnmark-1.0,tex,tex,SAME
sauter-2.4,tex,tex,SAME
datetime2-turkish-1.1,tex,tex,SAME
fixltxhyph-0.5,tex,tex,SAME
wordcount-1.7,tex,tex,SAME
gfsneohellenic-1.02,tex,tex,SAME
eskdx-0.98,tex,tex,SAME
askinclude-2.7,tex,tex,SAME
lambda-45756,tex,tex,SAME
loops-1.3,tex,tex,SAME
lua-widow-control-3.0.1,tex,tex,SAME
uafthesis-12.12,tex,tex,SAME
classpack-1.19,tex,tex,SAME
count1to-2.11,tex,tex,SAME
context-chat-72010,tex,tex,SAME
noconflict-1.0,tex,tex,SAME
memoir-3.8.3,tex,tex,SAME
pdfprivacy-1.0,tex,tex,SAME
bchart-0.1.3,tex,tex,SAME
pauldoc-0.5,tex,tex,SAME
datetime2-estonian-1.1,tex,tex,SAME
fonttable-1.6c,tex,tex,SAME
lectureslides-1.0,tex,tex,SAME
nestquot-27323,tex,tex,SAME
photobook-0.1.31,tex,tex,SAME
atenddvi-1.5,tex,tex,SAME
beamersubframe-0.2,tex,tex,SAME
modular-44142,tex,tex,SAME
markdown-3.11.0-0-ga9095584,tex,tex,SAME
ecobiblatex-1.0,tex,tex,SAME
tikz-inet-0.1,tex,tex,SAME
hrefhide-1.1b,tex,tex,SAME
tengwarscript-1.3.1,tex,tex,SAME
cmll-17964,tex,tex,SAME
inputenx-1.12,tex,tex,SAME
multibib-1.4,tex,tex,SAME
ecgdraw-0.1,tex,tex,SAME
matrix-skeleton-1.1,tex,tex,SAME
tikzlings-2.2,tex,tex,SAME
zxjafbfont-0.2,tex,tex,SAME
truncate-3.6,tex,tex,SAME
gentium-otf-0.01,tex,tex,SAME
niceframe-1.1c,tex,tex,SAME
pagecont-1.0,tex,tex,SAME
contract-0.91,tex,tex,SAME
unfonts-core-56291,tex,tex,SAME
chapterfolder-2.0.1,tex,tex,SAME
gmutils-0.996,tex,tex,SAME
pst-geometrictools-1.4,tex,tex,SAME
tikz3d-fr-0.1.3,tex,tex,SAME
